year,course,course_code,intake,source
2020,ANIMAL SCIENCE & FISHERIES,086,74,student_handbook_english (2020-2021).pdf
2020,FOOD PRODUCTION & TECHNOLOGY MANAGEMENT,087,139,student_handbook_english (2020-2021).pdf
2020,AGRICULTURAL RESOURCE MANAGEMENT AND TECHNOLOGY,093,181,student_handbook_english (2020-2021).pdf
2020,AGRIBUSINESS MANAGEMENT,094,78,student_handbook_english (2020-2021).pdf
2020,GREEN TECHNOLOGY,095,72,student_handbook_english (2020-2021).pdf
2020,ANIMAL SCIENCE,067,108,student_handbook_english (2020-2021).pdf
2020,EXPORT AGRICULTURE,073,105,student_handbook_english (2020-2021).pdf
2020,AQUATIC RESOURCES TECHNOLOGY,088,114,student_handbook_english (2020-2021).pdf
2020,OCCUPATIONAL THERAPY (NEW),115,50,student_handbook_english (2020-2021).pdf
2020,OPTOMETRY (NEW),116,60,student_handbook_english (2020-2021).pdf
2020,APPLIED CHEMISTRY (NEW),118,60,student_handbook_english (2020-2021).pdf
2020,INDIGENOUS MEDICINAL RESOURCES (NEW),120,50,student_handbook_english (2020-2021).pdf
2020,AQUATIC BIORESOURCES (NEW),129,50,student_handbook_english (2020-2021).pdf
2020,URBAN BIORESOURCES (NEW),130,50,student_handbook_english (2020-2021).pdf
2020,ENGINEERING,008,2213,student_handbook_english (2020-2021).pdf
2020,ENGINEERING (EM) - EARTH RESOURCES ENGINEERING,009,80,student_handbook_english (2020-2021).pdf
2020,ENGINEERING (TM) - TEXTILE & APPAREL ENGINEERING,010,98,student_handbook_english (2020-2021).pdf
2020,PHYSICAL SCIENCE,013,2327,student_handbook_english (2020-2021).pdf
2020,COMPUTER SCIENCE,012,647,student_handbook_english (2020-2021).pdf
2020,APPLIED SCIENCES (PHYSICAL SCIENCE),015,768,student_handbook_english (2020-2021).pdf
2020,TRANSPORT & LOGISTICS MANAGEMENT,057,91,student_handbook_english (2020-2021).pdf
2020,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE,059,121,student_handbook_english (2020-2021).pdf
2020,STATISTICS & OPERATIONS RESEARCH,060,79,student_handbook_english (2020-2021).pdf
2020,COMPUTING & INFORMATION SYSTEMS,080,178,student_handbook_english (2020-2021).pdf
2020,PHYSICAL SCIENCE - INFORMATION AND COMMUNICATION TECHNOLOGY (PHYSICAL,108,156,student_handbook_english (2020-2021).pdf
2020,ARTIFICIAL INTELLIGENCE (NEW),117,50,student_handbook_english (2020-2021).pdf
2020,ELECTRONICS AND COMPUTER SCIENCE (NEW),119,80,student_handbook_english (2020-2021).pdf
2020,ENGINEERING TECHNOLOGY (ET),102,1301,student_handbook_english (2020-2021).pdf
2020,BIOSYSTEMS TECHNOLOGY (BST),103,1221,student_handbook_english (2020-2021).pdf
2020,INFORMATION COMMUNICATION TECHNOLOGY,104,884,student_handbook_english (2020-2021).pdf
2020,INFORMATION TECHNOLOGY (IT),026,251,student_handbook_english (2020-2021).pdf
2020,MANAGEMENT AND INFORMATION TECHNOLOGY (MIT),027,119,student_handbook_english (2020-2021).pdf
2020,QUANTITY SURVEYING,011,152,student_handbook_english (2020-2021).pdf
2020,SURVEYING SCIENCE,014,165,student_handbook_english (2020-2021).pdf
2020,TOWN & COUNTRY PLANNING,030,88,student_handbook_english (2020-2021).pdf
2020,ARCHITECTURE,023,100,student_handbook_english (2020-2021).pdf
2020,FASHION DESIGN & PRODUCT DEVELOPMENT,034,79,student_handbook_english (2020-2021).pdf
2020,LANDSCAPE ARCHITECTURE,097,81,student_handbook_english (2020-2021).pdf
2020,DESIGN,024,87,student_handbook_english (2020-2021).pdf
2020,LAW,025,495,student_handbook_english (2020-2021).pdf
2020,FACILITIES MANAGEMENT,056,81,student_handbook_english (2020-2021).pdf
2020,MANAGEMENT AND INFORMATION TECHNOLOGY (SEUSL),079,170,student_handbook_english (2020-2021).pdf
2020,SCIENCE AND TECHNOLOGY,064,107,student_handbook_english (2020-2021).pdf
2020,COMPUTER SCIENCE & TECHNOLOGY,065,101,student_handbook_english (2020-2021).pdf
2020,ENTREPRENEURSHIP AND MANAGEMENT,066,101,student_handbook_english (2020-2021).pdf
2020,TEA TECHNOLOGY & VALUE ADDITION,074,112,student_handbook_english (2020-2021).pdf
2020,INDUSTRIAL INFORMATION TECHNOLOGY,075,100,student_handbook_english (2020-2021).pdf
2020,MINERAL RESOURCES AND TECHNOLOGY,076,106,student_handbook_english (2020-2021).pdf
2020,PALM AND LATEX TECHNOLOGY & VALUE ADDITION,089,104,student_handbook_english (2020-2021).pdf
2020,"HOSPITALITY, TOURISM AND EVENTS MANAGEMENT",090,107,student_handbook_english (2020-2021).pdf
2020,PHYSICAL EDUCATION,081,147,student_handbook_english (2020-2021).pdf
2020,SPORTS SCIENCE & MANAGEMENT,082,228,student_handbook_english (2020-2021).pdf
2020,SPEECH AND HEARING SCIENCES,083,84,student_handbook_english (2020-2021).pdf
2020,INFORMATION TECHNOLOGY & MANAGEMENT,091,127,student_handbook_english (2020-2021).pdf
2020,TOURISM & HOSPITALITY MANAGEMENT,092,181,student_handbook_english (2020-2021).pdf
2020,INFORMATION SYSTEMS,096,120,student_handbook_english (2020-2021).pdf
2020,TRANSLATION STUDIES,098,138,student_handbook_english (2020-2021).pdf
2020,FILM & TELEVISION STUDIES,100,71,student_handbook_english (2020-2021).pdf
2020,PROJECT MANAGEMENT,101,101,student_handbook_english (2020-2021).pdf
2020,INFORMATION AND COMMUNICATION TECHNOLOGY (ICT),038,285,student_handbook_english (2020-2021).pdf
2020,SOFTWARE ENGINEERING,099,121,student_handbook_english (2020-2021).pdf
2020,FOOD BUSINESS MANAGEMENT,107,135,student_handbook_english (2020-2021).pdf
2020,MARINE AND FRESH WATER SCIENCES,106,90,student_handbook_english (2020-2021).pdf
2020,BUSINESS SCIENCE,109,149,student_handbook_english (2020-2021).pdf
2020,FINANCIAL ENGINEERING,110,81,student_handbook_english (2020-2021).pdf
2020,GEOGRAPHICAL INFORMATION SCIENCE,111,75,student_handbook_english (2020-2021).pdf
2020,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS,113,73,student_handbook_english (2020-2021).pdf
2020,HUMAN RESOURCE DEVELOPMENT,114,85,student_handbook_english (2020-2021).pdf
2020,HEALTH INFORMATION AND COMMUNICATION TECHNOLOGY (NEW),121,50,student_handbook_english (2020-2021).pdf
2020,HEALTH TOURISM AND HOSPITALITY MANAGEMENT (NEW),122,50,student_handbook_english (2020-2021).pdf
2020,BIOMEDICAL TECHNOLOGY,123,50,student_handbook_english (2020-2021).pdf
2020,INDIGENOUS PHAMACEUTICAL TECHNOLOGY (NEW),124,50,student_handbook_english (2020-2021).pdf
2020,YOGA AND PARAPSYCHOLOGY (NEW),125,50,student_handbook_english (2020-2021).pdf
2020,SOCIAL STUDIES IN INDIGENOUS KNOWLEDGE,126,50,student_handbook_english (2020-2021).pdf
2022,ARTS,019,7059,student_handbook_english (2022-2023).pdf
2022,MASS MEDIA,019,110,student_handbook_english (2022-2023).pdf
2022,PERFORMING ARTS,019,110,student_handbook_english (2022-2023).pdf
2022,MUSIC,105,300,student_handbook_english (2022-2023).pdf
2022,DANCE,105,300,student_handbook_english (2022-2023).pdf
2022,DRAMA & THEATRE,105,74,student_handbook_english (2022-2023).pdf
2022,VISUAL ARTS,105,120,student_handbook_english (2022-2023).pdf
2022,ART & DESIGN,105,62,student_handbook_english (2022-2023).pdf
2022,MANAGEMENT,016,5430,student_handbook_english (2022-2023).pdf
2022,MANAGEMENT (PUBLIC) HONOURS,028,100,student_handbook_english (2022-2023).pdf
2022,REAL ESTATE MANAGEMENT AND VALUATION,017,70,student_handbook_english (2022-2023).pdf
2022,COMMERCE,018,887,student_handbook_english (2022-2023).pdf
2022,MANAGEMENT STUDIES (TV),022,458,student_handbook_english (2022-2023).pdf
2022,BUSINESS INFORMATION SYSTEMS (HONOURS) (BIS),077,80,student_handbook_english (2022-2023).pdf
2022,ACCOUNTING INFORMATION SYSTEMS,127,50,student_handbook_english (2022-2023).pdf
2022,BANKING AND INSURANCE,133,50,student_handbook_english (2022-2023).pdf
2022,MEDICINE,,2085,student_handbook_english (2022-2023).pdf
2022,DENTAL SURGERY,,130,student_handbook_english (2022-2023).pdf
2022,AGRICULTURAL TECHNOLOGY & MANAGEMENT,039,221,student_handbook_english (2022-2023).pdf
2022,AGRICULTURE,004,889,student_handbook_english (2022-2023).pdf
2022,FOOD SCIENCE & NUTRITION,005,164,student_handbook_english (2022-2023).pdf
2022,FOOD SCIENCE & TECHNOLOGY,035,218,student_handbook_english (2022-2023).pdf
2022,AYURVEDIC MEDICINE AND SURGERY,032,383,student_handbook_english (2022-2023).pdf
2022,UNANI MEDICINE AND SURGERY,033,89,student_handbook_english (2022-2023).pdf
2022,SIDDHA MEDICINE AND SURGERY,036,247,student_handbook_english (2022-2023).pdf
2022,BIOLOGICAL SCIENCE,006,1686,student_handbook_english (2022-2023).pdf
2022,APPLIED SCIENCES (BIOLOGICAL SCIENCE),007,410,student_handbook_english (2022-2023).pdf
2022,HEALTH PROMOTION,050,103,student_handbook_english (2022-2023).pdf
2022,NURSING,037,568,student_handbook_english (2022-2023).pdf
2022,PHARMACY,051,234,student_handbook_english (2022-2023).pdf
2022,MEDICAL LABORATORY SCIENCES,052,226,student_handbook_english (2022-2023).pdf
2022,RADIOGRAPHY,053,68,student_handbook_english (2022-2023).pdf
2022,PHYSIOTHERAPY,054,111,student_handbook_english (2022-2023).pdf
2022,BIOCHEMISTRY & MOLECULAR BIOLOGY,058,80,student_handbook_english (2022-2023).pdf
2022,FISHERIES & MARINE SCIENCES,062,150,student_handbook_english (2022-2023).pdf
2022,ENVIRONMENTAL CONSERVATION & MANAGEMENT,055,109,student_handbook_english (2022-2023).pdf
2022,ANIMAL SCIENCE & FISHERIES,086,74,student_handbook_english (2022-2023).pdf
2022,FOOD PRODUCTION & TECHNOLOGY MANAGEMENT,087,139,student_handbook_english (2022-2023).pdf
2022,AGRICULTURAL RESOURCE MANAGEMENT AND TECHNOLOGY,093,181,student_handbook_english (2022-2023).pdf
2022,AGRIBUSINESS MANAGEMENT,094,78,student_handbook_english (2022-2023).pdf
2022,GREEN TECHNOLOGY,095,72,student_handbook_english (2022-2023).pdf
2022,ANIMAL PRODUCTION AND FOOD TECHNOLOGY,067,108,student_handbook_english (2022-2023).pdf
2022,EXPORT AGRICULTURE,073,105,student_handbook_english (2022-2023).pdf
2022,AQUATIC RESOURCES TECHNOLOGY,088,114,student_handbook_english (2022-2023).pdf
2022,OCCUPATIONAL THERAPY,115,50,student_handbook_english (2022-2023).pdf
2022,OPTOMETRY,116,60,student_handbook_english (2022-2023).pdf
2022,APPLIED CHEMISTRY,118,60,student_handbook_english (2022-2023).pdf
2022,INDIGENOUS MEDICINAL RESOURCES,120,70,student_handbook_english (2022-2023).pdf
2022,AQUATIC BIORESOURCES,129,50,student_handbook_english (2022-2023).pdf
2022,URBAN BIORESOURCES,130,50,student_handbook_english (2022-2023).pdf
2022,MEDICAL IMAGING TECHNOLOGY (NEW),138,50,student_handbook_english (2022-2023).pdf
2022,ENGINEERING,008,2238,student_handbook_english (2022-2023).pdf
2022,ENGINEERING (EM) - EARTH RESOURCES ENGINEERING,009,80,student_handbook_english (2022-2023).pdf
2022,ENGINEERING (TM) - TEXTILE & APPAREL ENGINEERING,010,98,student_handbook_english (2022-2023).pdf
2022,TRANSPORT MANAGEMENT & LOGISTICS ENGINEERING (TMLE),057,91,student_handbook_english (2022-2023).pdf
2022,PHYSICAL SCIENCE,013,2327,student_handbook_english (2022-2023).pdf
2022,COMPUTER SCIENCE,012,697,student_handbook_english (2022-2023).pdf
2022,APPLIED SCIENCES (PHYSICAL SCIENCE),015,768,student_handbook_english (2022-2023).pdf
2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE,059,121,student_handbook_english (2022-2023).pdf
2022,STATISTICS & OPERATIONS RESEARCH,060,79,student_handbook_english (2022-2023).pdf
2022,COMPUTING & INFORMATION SYSTEMS,080,178,student_handbook_english (2022-2023).pdf
2022,PHYSICAL SCIENCE - INFORMATION AND COMMUNICATION TECHNOLOGY (PHYSICAL,108,156,student_handbook_english (2022-2023).pdf
2022,ARTIFICIAL INTELLIGENCE,117,50,student_handbook_english (2022-2023).pdf
2022,ELECTRONICS AND COMPUTER SCIENCE,119,80,student_handbook_english (2022-2023).pdf
2022,DATA SCIENCE (NEW),136,50,student_handbook_english (2022-2023).pdf
2022,ENGINEERING TECHNOLOGY (ET),102,1335,student_handbook_english (2022-2023).pdf
2022,BIOSYSTEMS TECHNOLOGY (BST),103,1245,student_handbook_english (2022-2023).pdf
2022,INFORMATION COMMUNICATION TECHNOLOGY,104,920,student_handbook_english (2022-2023).pdf
2022,INFORMATION TECHNOLOGY (IT),026,251,student_handbook_english (2022-2023).pdf
2022,MANAGEMENT AND INFORMATION TECHNOLOGY (MIT),027,119,student_handbook_english (2022-2023).pdf
2022,QUANTITY SURVEYING,011,152,student_handbook_english (2022-2023).pdf
2022,SURVEYING SCIENCE,014,165,student_handbook_english (2022-2023).pdf
2022,TOWN & COUNTRY PLANNING,030,88,student_handbook_english (2022-2023).pdf
2022,ARCHITECTURE,023,100,student_handbook_english (2022-2023).pdf
2022,FASHION DESIGN & PRODUCT DEVELOPMENT,034,79,student_handbook_english (2022-2023).pdf
2022,LANDSCAPE ARCHITECTURE,097,81,student_handbook_english (2022-2023).pdf
2022,DESIGN,024,87,student_handbook_english (2022-2023).pdf
2022,LAW,025,495,student_handbook_english (2022-2023).pdf
2022,FACILITIES MANAGEMENT,056,81,student_handbook_english (2022-2023).pdf
2022,MANAGEMENT AND INFORMATION TECHNOLOGY (SEUSL),079,170,student_handbook_english (2022-2023).pdf
2022,SCIENCE AND TECHNOLOGY,064,107,student_handbook_english (2022-2023).pdf
2022,COMPUTER SCIENCE & TECHNOLOGY,065,101,student_handbook_english (2022-2023).pdf
2022,ENTREPRENEURSHIP AND MANAGEMENT,066,101,student_handbook_english (2022-2023).pdf
2022,INDUSTRIAL INFORMATION TECHNOLOGY,075,100,student_handbook_english (2022-2023).pdf
2022,MINERAL RESOURCES AND TECHNOLOGY,076,106,student_handbook_english (2022-2023).pdf
2022,"HOSPITALITY, TOURISM AND EVENTS MANAGEMENT",090,107,student_handbook_english (2022-2023).pdf
2022,PHYSICAL EDUCATION,081,147,student_handbook_english (2022-2023).pdf
2022,SPORTS SCIENCE & MANAGEMENT,082,228,student_handbook_english (2022-2023).pdf
2022,SPEECH AND HEARING SCIENCES,083,75,student_handbook_english (2022-2023).pdf
2022,INFORMATION TECHNOLOGY & MANAGEMENT,091,127,student_handbook_english (2022-2023).pdf
2022,TOURISM & HOSPITALITY MANAGEMENT,092,181,student_handbook_english (2022-2023).pdf
2022,INFORMATION SYSTEMS,096,350,student_handbook_english (2022-2023).pdf
2022,TRANSLATION STUDIES,098,138,student_handbook_english (2022-2023).pdf
2022,FILM & TELEVISION STUDIES,100,60,student_handbook_english (2022-2023).pdf
2022,PROJECT MANAGEMENT,101,101,student_handbook_english (2022-2023).pdf
2022,INFORMATION AND COMMUNICATION TECHNOLOGY (ICT),038,285,student_handbook_english (2022-2023).pdf
2022,SOFTWARE ENGINEERING,099,171,student_handbook_english (2022-2023).pdf
2022,FOOD BUSINESS MANAGEMENT,107,135,student_handbook_english (2022-2023).pdf
2022,MARINE AND FRESH WATER SCIENCES,106,100,student_handbook_english (2022-2023).pdf
2022,BUSINESS SCIENCE,109,149,student_handbook_english (2022-2023).pdf
2022,FINANCIAL ENGINEERING,110,81,student_handbook_english (2022-2023).pdf
2022,GEOGRAPHICAL INFORMATION SCIENCE,111,75,student_handbook_english (2022-2023).pdf
2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS,113,73,student_handbook_english (2022-2023).pdf
2022,HUMAN RESOURCE DEVELOPMENT,114,85,student_handbook_english (2022-2023).pdf
2022,HEALTH INFORMATION AND COMMUNICATION TECHNOLOGY,121,70,student_handbook_english (2022-2023).pdf
2022,HEALTH TOURISM AND HOSPITALITY MANAGEMENT,122,70,student_handbook_english (2022-2023).pdf
2022,BIOMEDICAL TECHNOLOGY,123,70,student_handbook_english (2022-2023).pdf
2022,INDIGENOUS PHAMACEUTICAL TECHNOLOGY,124,70,student_handbook_english (2022-2023).pdf
2022,YOGA AND PARAPSYCHOLOGY,125,70,student_handbook_english (2022-2023).pdf
2022,SOCIAL STUDIES IN INDIGENOUS KNOWLEDGE,126,70,student_handbook_english (2022-2023).pdf
2022,FINANCIAL ECONOMICS,131,50,student_handbook_english (2022-2023).pdf
2022,ENGLISH LANGUAGE & APPLIED LINGUISTICS,132,50,student_handbook_english (2022-2023).pdf
2022,CREATIVE MUSIC TECHNOLOGY AND PRODUCTION,134,50,student_handbook_english (2022-2023).pdf
2022,PLANTATION MANAGEMENT AND TECHNOLOGY (NEW),135,216,student_handbook_english (2022-2023).pdf
2022,PRIMARY EDUCATION (NEW),137,75,student_handbook_english (2022-2023).pdf
2023,ARTS,019,7083,student_handbook_english (2023-2024).pdf
2023,MASS MEDIA,019,110,student_handbook_english (2023-2024).pdf
2023,PERFORMING ARTS,019,110,student_handbook_english (2023-2024).pdf
2023,MUSIC,105,300,student_handbook_english (2023-2024).pdf
2023,DANCE,105,300,student_handbook_english (2023-2024).pdf
2023,DRAMA & THEATRE,105,74,student_handbook_english (2023-2024).pdf
2023,VISUAL ARTS,105,120,student_handbook_english (2023-2024).pdf
2023,ART & DESIGN,105,62,student_handbook_english (2023-2024).pdf
2023,MANAGEMENT,016,5440,student_handbook_english (2023-2024).pdf
2023,MANAGEMENT (PUBLIC) HONOURS,028,100,student_handbook_english (2023-2024).pdf
2023,REAL ESTATE MANAGEMENT AND VALUATION,017,70,student_handbook_english (2023-2024).pdf
2023,COMMERCE,018,887,student_handbook_english (2023-2024).pdf
2023,MANAGEMENT STUDIES (TV),022,458,student_handbook_english (2023-2024).pdf
2023,BUSINESS INFORMATION SYSTEMS (HONOURS) (BIS),077,80,student_handbook_english (2023-2024).pdf
2023,ACCOUNTING INFORMATION SYSTEMS,127,50,student_handbook_english (2023-2024).pdf
2023,BANKING AND INSURANCE,133,50,student_handbook_english (2023-2024).pdf
2023,MEDICINE,001,2088,student_handbook_english (2023-2024).pdf
2023,DENTAL SURGERY,002,130,student_handbook_english (2023-2024).pdf
2023,VETERINARY SCIENCE,003,130,student_handbook_english (2023-2024).pdf
2023,AGRICULTURAL TECHNOLOGY & MANAGEMENT,039,221,student_handbook_english (2023-2024).pdf
2023,AGRICULTURE,004,889,student_handbook_english (2023-2024).pdf
2023,FOOD SCIENCE & NUTRITION,005,165,student_handbook_english (2023-2024).pdf
2023,FOOD SCIENCE & TECHNOLOGY,035,218,student_handbook_english (2023-2024).pdf
2023,AYURVEDIC MEDICINE AND SURGERY,032,383,student_handbook_english (2023-2024).pdf
2023,UNANI MEDICINE AND SURGERY,033,89,student_handbook_english (2023-2024).pdf
2023,SIDDHA MEDICINE AND SURGERY,036,247,student_handbook_english (2023-2024).pdf
2023,BIOLOGICAL SCIENCE,006,1686,student_handbook_english (2023-2024).pdf
2023,APPLIED SCIENCES (BIOLOGICAL SCIENCE),007,410,student_handbook_english (2023-2024).pdf
2023,HEALTH PROMOTION,050,103,student_handbook_english (2023-2024).pdf
2023,NURSING,037,573,student_handbook_english (2023-2024).pdf
2023,PHARMACY,051,239,student_handbook_english (2023-2024).pdf
2023,MEDICAL LABORATORY SCIENCES,052,226,student_handbook_english (2023-2024).pdf
2023,RADIOGRAPHY,053,68,student_handbook_english (2023-2024).pdf
2023,PHYSIOTHERAPY,054,111,student_handbook_english (2023-2024).pdf
2023,BIOCHEMISTRY & MOLECULAR BIOLOGY,058,80,student_handbook_english (2023-2024).pdf
2023,FISHERIES & MARINE SCIENCES,062,150,student_handbook_english (2023-2024).pdf
2023,ENVIRONMENTAL CONSERVATION & MANAGEMENT,055,109,student_handbook_english (2023-2024).pdf
2023,ANIMAL SCIENCE & FISHERIES,086,74,student_handbook_english (2023-2024).pdf
2023,FOOD PRODUCTION & TECHNOLOGY MANAGEMENT,087,140,student_handbook_english (2023-2024).pdf
2023,AGRICULTURAL RESOURCE MANAGEMENT AND TECHNOLOGY,093,181,student_handbook_english (2023-2024).pdf
2023,AGRIBUSINESS MANAGEMENT,094,78,student_handbook_english (2023-2024).pdf
2023,GREEN TECHNOLOGY,095,72,student_handbook_english (2023-2024).pdf
2023,ANIMAL PRODUCTION AND FOOD TECHNOLOGY,067,108,student_handbook_english (2023-2024).pdf
2023,EXPORT AGRICULTURE,073,105,student_handbook_english (2023-2024).pdf
2023,AQUATIC RESOURCES TECHNOLOGY,088,114,student_handbook_english (2023-2024).pdf
2023,OCCUPATIONAL THERAPY,115,50,student_handbook_english (2023-2024).pdf
2023,OPTOMETRY,116,60,student_handbook_english (2023-2024).pdf
2023,APPLIED CHEMISTRY,118,60,student_handbook_english (2023-2024).pdf
2023,INDIGENOUS MEDICINAL RESOURCES,120,70,student_handbook_english (2023-2024).pdf
2023,AQUATIC BIORESOURCES,129,50,student_handbook_english (2023-2024).pdf
2023,URBAN BIORESOURCES,130,50,student_handbook_english (2023-2024).pdf
2023,MEDICAL IMAGING TECHNOLOGY,138,50,student_handbook_english (2023-2024).pdf
2023,SPEECH AND HEARING SCIENCES,083,75,student_handbook_english (2023-2024).pdf
2023,ENGINEERING,008,2238,student_handbook_english (2023-2024).pdf
2023,ENGINEERING (EM) - EARTH RESOURCES ENGINEERING,009,80,student_handbook_english (2023-2024).pdf
2023,ENGINEERING (TM) - TEXTILE & APPAREL ENGINEERING,010,98,student_handbook_english (2023-2024).pdf
2023,TRANSPORT MANAGEMENT & LOGISTICS ENGINEERING (TMLE),057,91,student_handbook_english (2023-2024).pdf
2023,PHYSICAL SCIENCE,013,2327,student_handbook_english (2023-2024).pdf
2023,COMPUTER SCIENCE,012,697,student_handbook_english (2023-2024).pdf
2023,APPLIED SCIENCES (PHYSICAL SCIENCE),015,768,student_handbook_english (2023-2024).pdf
2023,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE,059,121,student_handbook_english (2023-2024).pdf
2023,STATISTICS & OPERATIONS RESEARCH,060,79,student_handbook_english (2023-2024).pdf
2023,ARTIFICIAL INTELLIGENCE,117,50,student_handbook_english (2023-2024).pdf
2023,ELECTRONICS AND COMPUTER SCIENCE,119,80,student_handbook_english (2023-2024).pdf
2023,DATA SCIENCE,136,65,student_handbook_english (2023-2024).pdf
2023,ENGINEERING TECHNOLOGY (ET),102,1335,student_handbook_english (2023-2024).pdf
2023,BIOSYSTEMS TECHNOLOGY (BST),103,1245,student_handbook_english (2023-2024).pdf
2023,INFORMATION COMMUNICATION TECHNOLOGY,104,920,student_handbook_english (2023-2024).pdf
2023,INFORMATION TECHNOLOGY (IT),026,251,student_handbook_english (2023-2024).pdf
2023,MANAGEMENT AND INFORMATION TECHNOLOGY (MIT),027,119,student_handbook_english (2023-2024).pdf
2023,QUANTITY SURVEYING,011,152,student_handbook_english (2023-2024).pdf
2023,SURVEYING SCIENCE,014,165,student_handbook_english (2023-2024).pdf
2023,TOWN & COUNTRY PLANNING,030,88,student_handbook_english (2023-2024).pdf
2023,ARCHITECTURE,023,100,student_handbook_english (2023-2024).pdf
2023,FASHION DESIGN & PRODUCT DEVELOPMENT,034,79,student_handbook_english (2023-2024).pdf
2023,LANDSCAPE ARCHITECTURE,097,81,student_handbook_english (2023-2024).pdf
2023,DESIGN,024,87,student_handbook_english (2023-2024).pdf
2023,LAW,025,495,student_handbook_english (2023-2024).pdf
2023,FACILITIES MANAGEMENT,056,81,student_handbook_english (2023-2024).pdf
2023,MANAGEMENT AND INFORMATION TECHNOLOGY (SEUSL),079,170,student_handbook_english (2023-2024).pdf
2023,SCIENCE AND TECHNOLOGY,064,107,student_handbook_english (2023-2024).pdf
2023,COMPUTER SCIENCE & TECHNOLOGY,065,101,student_handbook_english (2023-2024).pdf
2023,ENTREPRENEURSHIP AND MANAGEMENT,066,101,student_handbook_english (2023-2024).pdf
2023,INDUSTRIAL INFORMATION TECHNOLOGY,075,100,student_handbook_english (2023-2024).pdf
2023,MINERAL RESOURCES AND TECHNOLOGY,076,106,student_handbook_english (2023-2024).pdf
2023,"HOSPITALITY, TOURISM AND EVENTS MANAGEMENT",090,107,student_handbook_english (2023-2024).pdf
2023,PHYSICAL EDUCATION,081,147,student_handbook_english (2023-2024).pdf
2023,SPORTS SCIENCE & MANAGEMENT,082,228,student_handbook_english (2023-2024).pdf
2023,INFORMATION TECHNOLOGY & MANAGEMENT,091,127,student_handbook_english (2023-2024).pdf
2023,TOURISM & HOSPITALITY MANAGEMENT,092,181,student_handbook_english (2023-2024).pdf
2023,INFORMATION SYSTEMS,096,350,student_handbook_english (2023-2024).pdf
2023,TRANSLATION STUDIES,098,141,student_handbook_english (2023-2024).pdf
2023,FILM & TELEVISION STUDIES,100,60,student_handbook_english (2023-2024).pdf
